V_ID,Town,Cluster_result,Cluster_name,QoL_Score,Marital status,Population Density,Natural Increase,Social Increase,Housing Price,Income,edu1,edu2,NO2,PM2.5,Hospital,Water,Green,Area,Metro in 300m,Multi Metro in 300m,Metro in 500m,Multi Metro in 500m,Primary School,High School,Gym,Fire station,Police station,Shelter
65000020-083,Sanchong District,2,Outskirt: Influx of New Residents,13.24,0.113785582,0.318843158,0.149359022,0.111189877,0.270662095,0.050625339,0.110432646,0.485730462,0.128320883,0.75254835,0.142857143,0,0,0.000330803,0,0,1,0,0,1,0,0,1,0
65000020-027,Sanchong District,2,Outskirt: Influx of New Residents,37.23,0.046962996,0.292156676,0.159715209,0.112527301,0.270662095,0.016760371,0.045237441,0.426441211,0.106880049,0.681706652,0.142857143,0,1,0.000192505,1,0,1,0,0,0,0,0,1,0
65000020-022,Sanchong District,2,Outskirt: Influx of New Residents,10.28,0.043824343,0.030313715,0.161367884,0.112372066,0.270662095,0.013308833,0.044420015,0.455246368,0.106880049,0.681706652,0.142857143,0,0,0.000381304,0,0,1,0,0,0,0,0,1,0.003875969
65000020-023,Sanchong District,2,Outskirt: Influx of New Residents,4.3,0.058454261,0.0316543,0.138195131,0.110788676,0.270662095,0.026439215,0.060011354,0.428550595,0.106880049,0.681706652,0.142857143,0,0,0.000279985,0,0,0,0,0,0,0,0,1,0
65000020-043,Sanchong District,2,Outskirt: Influx of New Residents,23.25,0.087361689,0.273403864,0.16300045,0.108811702,0.270662095,0.035983491,0.087926814,0.460202694,0.106880049,0.381340733,0.285714286,0,0,0.000305281,1,0,1,0,0,0,0,0,1,0
65000020-086,Sanchong District,2,Outskirt: Influx of New Residents,32.26,0.117609538,0.157051089,0.164613214,0.108473777,0.270662095,0.047974058,0.114299571,0.509299248,0.06346393,0.847833973,0.142857143,0,1,0.000850559,0,0,1,0,0,1,0,0,1,0.003875969
65000020-028,Sanchong District,2,Outskirt: Influx of New Residents,50,0.065103684,0.315310201,0.169335671,0.113371224,0.270662095,0.031006929,0.069435476,0.435199368,0.106880049,0.381340733,0.285714286,0,1,0.000200198,1,0,1,0,0,0,0,0,1,0
65000020-042,Sanchong District,2,Outskirt: Influx of New Residents,8.13,0.089541371,0.349285476,0.161367884,0.113598518,0.270662095,0.041092639,0.088465359,0.486762532,0.106880049,0.381340733,0.285714286,0,0,0.000234029,0,0,1,0,0,0,0,0,1,0
65000020-031,Sanchong District,2,Outskirt: Influx of New Residents,10.15,0.053204228,0.292120429,0.152897108,0.111508249,0.270662095,0.016641107,0.055157107,0.454216111,0.106880049,0.381340733,0.142857143,0,0,0.000188774,0,0,1,0,0,0,0,0,1,0
65000020-060,Sanchong District,2,Outskirt: Influx of New Residents,69.83,0.026370513,0.243664192,0.152897108,0.113974647,0.270662095,0.010946034,0.02880954,0.40766301,0.128320883,0.381340733,0.142857143,0,0,0.00012054,1,0,1,0,0,1,0,1,1,0
65000020-001,Sanchong District,5,"Outskirt: High Population Density, Old Town",8.6,0.158867905,0.128365043,0.20047712,0.107097256,0.270662095,0.06211669,0.153582719,0.582785919,0.06346393,0.847833973,0,0,0,0.001421895,0,0,0,0,1,1,0,0,1,0.003875969
65000020-071,Sanchong District,2,Outskirt: Influx of New Residents,56.79,0.056265081,0.108109052,0.166206477,0.112836106,0.270662095,0.025713379,0.057880957,0.436007693,0.128320883,0.049890552,0.142857143,0,0,0.000597926,1,0,1,0,0,1,0,0,1,0.011627907
65000020-075,Sanchong District,2,Outskirt: Influx of New Residents,37.37,0.067186335,0.334638505,0.159715209,0.113598518,0.270662095,0.022331047,0.065032714,0.464212662,0.128320883,0.381340733,0.285714286,0,0,0.00013934,1,0,1,0,0,1,0,0,1,0
65000020-107,Sanchong District,2,Outskirt: Influx of New Residents,19.22,0.069730918,0.217311869,0.164613214,0.115662355,0.270662095,0.023486758,0.064413354,0.471866048,0.100692614,0.549414514,0,0,1,0.000380516,0,0,0,0,0,1,0,0,1,0.003875969
65000020-106,Sanchong District,2,Outskirt: Influx of New Residents,4.64,0.10646524,0.390682962,0.187953685,0.112449753,0.270662095,0.046324106,0.098438918,0.506371994,0.100692614,0.426814194,0,0,0,0.000196385,0,0,0,0,0,1,0,0,1,0
65000020-105,Sanchong District,2,Outskirt: Influx of New Residents,18.35,0.185887628,0.070117502,0.19808524,0.115010154,0.270662095,0.103734447,0.181633243,0.472591653,0.100692614,0.549414514,0,0,1,0.002207297,0,0,0,0,0,1,0,0,1,0.011627907
65000020-085,Sanchong District,2,Outskirt: Influx of New Residents,27.69,0.097817813,0.231901956,0.156348283,0.110465102,0.270662095,0.033572916,0.094128708,0.499763034,0.128320883,0.75254835,0.142857143,0,0,0.000519694,1,0,1,0,0,1,0,0,1,0
65000020-082,Sanchong District,2,Outskirt: Influx of New Residents,42.94,0.119943943,0.246592714,0.151139099,0.108303893,0.270662095,0.038707303,0.1108399,0.583149152,0.128320883,0.049890552,0.142857143,0,1,0.000546658,1,0,1,0,0,1,0,0,1,0
65000020-030,Sanchong District,2,Outskirt: Influx of New Residents,21.71,0.048238153,0.302866619,0.159715209,0.112216275,0.270662095,0.013523271,0.045909571,0.45736757,0.106880049,0.381340733,0.285714286,0,0,0.000162386,1,0,1,0,0,0,0,0,1,0
65000020-076,Sanchong District,2,Outskirt: Influx of New Residents,7.8,0.139554103,0.161637864,0.183906703,0.112138169,0.270662095,0.051247047,0.136225941,0.589215163,0.128320883,0.839858056,0.285714286,0,1,0.001049555,0,0,0,0,0,1,0,0,1,0
65000020-006,Sanchong District,2,Outskirt: Influx of New Residents,37.9,0.009204061,0.007907654,0.167780532,0.113066262,0.270662095,0.003745952,0.008961013,0.389621023,0.087151014,0.681706652,0.142857143,0,1,0.000799192,0,0,1,0,0,0,0,0,1,0
65000020-033,Sanchong District,2,Outskirt: Influx of New Residents,10.22,0.059693788,0.293910581,0.161367884,0.112604709,0.270662095,0.022229108,0.060311059,0.451672767,0.106880049,0.381340733,0.285714286,0,0,0.000153685,0,0,1,0,0,0,0,0,1,0
65000020-102,Sanchong District,2,Outskirt: Influx of New Residents,16.53,0.081761261,0.284111346,0.156348283,0.114716923,0.270662095,0.031911354,0.078744597,0.493869297,0.094125604,0.549414514,0,0,1,0.000272863,0,0,0,0,0,1,0,0,1,0
65000020-100,Sanchong District,2,Outskirt: Influx of New Residents,11.42,0.074919899,0.345396683,0.170872176,0.112449753,0.270662095,0.027494486,0.067336614,0.484242578,0.094125604,0.75254835,0,0,0,0.00017572,0,0,1,0,0,1,0,0,1,0
65000020-101,Sanchong District,2,Outskirt: Influx of New Residents,31.25,0.107293977,0.316390154,0.138195131,0.108388912,0.270662095,0.032014799,0.099055033,0.561208102,0.094125604,0.75254835,0,0,0,0.000308273,1,0,1,1,0,1,0,0,1,0
65000020-099,Sanchong District,2,Outskirt: Influx of New Residents,43.55,0.075105585,0.279065653,0.152897108,0.11134935,0.270662095,0.023045023,0.068159908,0.4866862,0.094125604,0.75254835,0,0,0,0.000312867,1,0,1,1,0,1,0,0,1,0
65000020-103,Sanchong District,2,Outskirt: Influx of New Residents,5.24,0.149035661,0.294595129,0.182525911,0.120141338,0.270662095,0.057826835,0.140205778,0.589229549,0.128320883,0.75254835,0,0,0,0.000488884,0,0,1,0,0,1,0,0,1,0
65000020-098,Sanchong District,2,Outskirt: Influx of New Residents,41.8,0.071405251,0.33407342,0.158042115,0.113522888,0.270662095,0.021158872,0.068540996,0.491714298,0.06346393,0.75254835,0,0,0,0.000145194,1,0,1,1,0,1,0,0,1,0
65000020-007,Sanchong District,2,Outskirt: Influx of New Residents,34.07,0.180767262,0.02823397,0.19808524,0.123730973,0.270662095,0.092304909,0.183544979,0.514784086,0.087151014,0.681706652,0.142857143,0,1,0.001195129,0,0,1,0,0,0,1,0,1,0
